game_number	player_bankrupt	turn
333	Alice	42
333	Hero	45
334	Hero	33
334	Alice	49
334	Charly	56
337	Charly	45
337	Hero	69
337	Alice	74
336	Alice	55
336	Charly	83
336	Hero	132
339	Bob	40
339	Charly	43
339	Alice	48
340	Alice	17
340	Bob	24
340	Hero	25
343	Bob	28
343	Charly	31
343	Hero	38
344	Hero	35
344	Alice	39
344	Charly	40
341	Charly	60
341	Hero	78
341	Alice	111
342	Bob	83
342	Alice	86
342	Charly	92
347	Alice	52
347	Hero	57
347	Charly	62
350	Charly	33
350	Alice	33
350	Bob	66
352	Alice	37
352	Bob	47
352	Hero	48
351	Hero	56
351	Bob	145
353	Bob	43
353	Hero	59
353	Alice	62
356	Charly	71
356	Bob	78
356	Hero	79
354	Charly	68
354	Alice	72
354	Hero	177
358	Alice	47
358	Charly	57
358	Bob	74
359	Bob	31
359	Alice	33
359	Charly	47
361	Charly	42
361	Hero	44
361	Bob	53
363	Bob	35
363	Charly	38
363	Hero	38
366	Bob	19
366	Alice	41
366	Hero	43
365	Alice	83
365	Bob	89
365	Hero	130
368	Bob	50
368	Alice	53
368	Charly	57
369	Hero	32
369	Bob	44
369	Charly	62
372	Charly	52
372	Alice	61
372	Bob	73
373	Alice	31
373	Charly	36
373	Hero	38
374	Bob	16
374	Hero	21
374	Charly	25
370	Bob	111
370	Charly	124
370	Hero	260
376	Alice	37
376	Charly	68
376	Bob	86
377	Hero	45
377	Alice	59
377	Bob	59
378	Alice	48
378	Bob	105
378	Hero	115
382	Bob	27
382	Alice	36
382	Charly	45
384	Charly	38
384	Hero	47
384	Bob	124
385	Hero	57
385	Charly	59
385	Alice	81
386	Charly	30
386	Hero	39
386	Bob	46
387	Bob	38
387	Alice	38
387	Charly	38
390	Charly	38
390	Alice	41
390	Hero	46
389	Hero	56
389	Alice	64
389	Charly	115
392	Alice	49
392	Bob	55
392	Charly	58
395	Hero	75
395	Alice	78
395	Charly	87
397	Bob	17
397	Charly	17
397	Hero	26
398	Hero	16
398	Bob	24
398	Alice	32
399	Hero	27
399	Bob	50
399	Charly	55
400	Charly	36
400	Hero	42
400	Alice	51
402	Bob	21
402	Alice	27
402	Charly	32
401	Alice	41
401	Bob	43
401	Hero	61
403	Alice	32
403	Hero	35
403	Charly	67
406	Bob	32
406	Alice	34
406	Charly	38
405	Hero	45
405	Bob	74
405	Alice	81
407	Charly	27
407	Hero	39
407	Alice	63
409	Alice	26
409	Hero	33
409	Bob	51
410	Bob	50
410	Hero	57
410	Charly	61
411	Bob	47
411	Alice	49
411	Hero	95
413	Alice	55
413	Bob	61
413	Hero	65
414	Hero	52
414	Bob	72
414	Alice	73
416	Charly	54
416	Hero	59
416	Alice	70
418	Hero	25
418	Bob	27
418	Charly	44
420	Bob	52
420	Alice	75
420	Charly	78
422	Alice	46
422	Charly	50
422	Hero	56
419	Charly	81
419	Hero	85
419	Bob	203
424	Alice	33
424	Charly	37
424	Hero	56
425	Alice	44
425	Hero	57
425	Charly	82
423	Hero	91
423	Alice	113
423	Charly	123
426	Bob	32
426	Alice	55
426	Hero	65
428	Alice	59
428	Hero	68
428	Bob	96
429	Charly	56
429	Alice	64
429	Hero	71
430	Bob	59
430	Alice	78
430	Hero	90
431	Charly	45
431	Hero	73
431	Bob	78
432	Alice	40
432	Hero	48
432	Charly	73
433	Charly	41
433	Bob	57
433	Alice	61
437	Bob	53
437	Alice	58
437	Hero	63
436	Charly	91
436	Alice	94
436	Hero	97
438	Bob	26
438	Charly	36
438	Hero	42
441	Alice	91
441	Hero	96
441	Charly	99
440	Bob	92
440	Alice	127
443	Hero	28
443	Charly	36
443	Alice	44
445	Charly	47
445	Bob	52
445	Hero	62
444	Alice	66
444	Hero	70
444	Charly	77
446	Hero	72
446	Alice	97
446	Charly	98
447	Alice	50
447	Charly	55
447	Bob	77
435	Hero	611
449	Hero	64
449	Bob	72
449	Charly	84
451	Bob	55
451	Hero	103
451	Charly	103
452	Alice	24
452	Charly	36
452	Bob	39
454	Charly	53
454	Hero	53
454	Alice	64
453	Alice	45
453	Hero	76
453	Bob	93
457	Hero	21
457	Bob	24
457	Charly	25
456	Bob	37
456	Charly	41
456	Alice	57
458	Alice	30
458	Charly	41
458	Bob	50
459	Hero	51
459	Bob	52
459	Charly	66
461	Alice	72
461	Hero	99
461	Charly	109
462	Bob	37
462	Hero	39
462	Alice	42
464	Hero	36
464	Charly	38
464	Alice	53
465	Bob	26
465	Charly	37
465	Hero	61
466	Alice	25
466	Bob	41
466	Charly	45
468	Alice	22
468	Hero	29
468	Bob	47
469	Hero	34
469	Alice	37
469	Bob	42
470	Alice	32
470	Charly	46
470	Bob	50
467	Alice	95
467	Bob	142
471	Bob	42
471	Charly	46
471	Alice	57
472	Hero	34
472	Alice	43
472	Bob	44
474	Alice	29
474	Hero	64
474	Charly	69
475	Charly	53
475	Hero	55
475	Bob	56
477	Bob	64
477	Alice	64
477	Charly	95
478	Alice	59
478	Charly	67
478	Hero	127
480	Bob	26
480	Alice	27
480	Hero	38
481	Alice	38
481	Hero	41
481	Bob	45
479	Alice	59
479	Bob	59
479	Charly	90
483	Bob	42
483	Charly	44
483	Alice	50
482	Bob	81
482	Hero	91
482	Charly	99
484	Hero	63
484	Bob	69
484	Alice	75
485	Charly	40
485	Alice	47
485	Bob	50
486	Charly	21
486	Hero	36
486	Alice	52
487	Bob	55
487	Charly	64
487	Alice	69
491	Hero	29
491	Charly	30
491	Alice	42
490	Alice	53
490	Charly	68
490	Hero	80
493	Alice	62
493	Bob	65
493	Hero	66
492	Alice	43
492	Charly	46
492	Hero	67
498	Charly	43
498	Bob	58
498	Alice	75
500	Hero	60
500	Alice	66
500	Bob	69
499	Bob	49
499	Alice	50
499	Hero	81
501	Alice	37
501	Charly	40
501	Hero	49
502	Alice	46
502	Hero	55
502	Charly	67
503	Hero	40
503	Bob	46
503	Charly	54
504	Bob	51
504	Charly	57
504	Hero	85
505	Alice	45
505	Bob	90
505	Charly	98
506	Charly	33
506	Alice	40
506	Bob	48
507	Alice	37
507	Hero	37
507	Charly	39
508	Charly	33
508	Bob	43
508	Hero	47
511	Bob	31
511	Hero	40
511	Alice	52
512	Charly	39
512	Bob	40
512	Hero	45
513	Charly	65
513	Hero	77
513	Bob	78
514	Charly	47
514	Bob	51
515	Hero	30
515	Charly	37
515	Bob	37
516	Hero	49
516	Alice	49
516	Charly	53
520	Alice	42
520	Bob	57
520	Hero	99
521	Charly	30
521	Alice	32
521	Bob	42
525	Bob	19
525	Alice	29
525	Hero	30
522	Bob	48
522	Charly	56
522	Hero	113
524	Hero	40
524	Charly	62
524	Alice	99
527	Alice	47
527	Bob	66
527	Hero	117
528	Hero	95
528	Alice	97
528	Charly	106
529	Charly	26
529	Hero	28
529	Alice	41
530	Hero	36
530	Alice	65
530	Bob	73
532	Bob	57
532	Alice	62
532	Charly	66
533	Alice	36
533	Bob	41
533	Charly	63
535	Charly	33
535	Hero	39
535	Bob	75
534	Charly	37
534	Alice	53
534	Hero	71
536	Alice	46
536	Hero	48
536	Charly	72
538	Charly	49
538	Hero	51
538	Bob	56
541	Hero	47
541	Charly	55
541	Bob	57
544	Charly	41
544	Alice	73
544	Hero	75
542	Charly	242
548	Alice	54
548	Hero	67
548	Bob	72
549	Charly	33
549	Hero	35
549	Bob	44
550	Hero	35
550	Bob	41
550	Charly	48
551	Bob	45
551	Hero	57
551	Charly	61
552	Charly	50
552	Hero	55
552	Bob	67
554	Hero	41
554	Alice	50
554	Charly	52
553	Alice	77
553	Bob	86
553	Hero	91
556	Charly	39
556	Alice	49
556	Hero	81
557	Alice	29
557	Bob	49
557	Hero	60
559	Bob	78
559	Charly	80
559	Hero	82
560	Alice	91
560	Bob	100
560	Hero	114
562	Charly	31
562	Hero	33
562	Bob	38
561	Hero	27
561	Alice	39
561	Charly	62
563	Alice	34
563	Hero	39
563	Bob	54
566	Hero	36
566	Charly	36
566	Alice	46
565	Charly	37
565	Bob	48
565	Alice	52
567	Charly	13
567	Bob	16
567	Alice	22
568	Bob	36
568	Charly	51
568	Alice	61
570	Charly	48
570	Alice	52
570	Hero	75
571	Alice	43
571	Charly	51
571	Hero	77
574	Hero	74
574	Bob	76
574	Alice	86
575	Bob	21
575	Charly	31
575	Alice	48
576	Hero	35
576	Alice	48
576	Charly	79
573	Alice	143
573	Charly	184
573	Hero	225
577	Hero	64
577	Alice	68
577	Charly	71
580	Hero	52
580	Charly	68
580	Bob	71
581	Charly	45
581	Hero	55
581	Bob	60
579	Alice	63
579	Hero	101
579	Charly	102
582	Charly	36
582	Alice	39
